Codigo;factura;valor
860073;3002610852 - 66;$194.020
860074;3002610853 - 64;$27.110
860075;3002610854 - 62;$29.590
860076;3002610855 - 60;$29.590
860077;3002610856 - 69;$29.590
860078;3002610858 - 65;$27.110
860079;3002610859 - 63;$29.590
860080;3002610860 - 77;$27.110
860081;3002610861 - 75;$29.590
860082;3002610862 - 73;$29.590
860083;3002610863 - 71;$27.110
860084;3002610865 - 78;$29.590
860085;3002610866 - 76;$29.590
860086;3002610867 - 74;$27.110
860088;3002610868 - 72;$27.110
860089;3002610869 - 70;$29.590
860090;3002610871 - 82;$27.110
860091;3002610872 - 80;$27.110
860092;3002610873 - 89;$29.590
860093;3002610874 - 87;$27.110
860094;3002610875 - 85;$194.020
860095;3002610877 - 81;$29.590
860096;3002610878 - 80;$27.110
860097;3002610879 - 88;$29.590
860098;3002610880 - 91;$27.110
860099;3002610881 - 90;$27.110
860100;3002610882 - 98;$27.110
860101;3002610883 - 96;$29.590
860102;3002610885 - 92;$29.590
860103;3002610886 - 90;$29.590
860104;3002610887 - 99;$29.590
860105;3002610888 - 97;$29.590
860106;3002610890 - 09;$29.590
860107;3002610891 - 07;$29.590
860108;3002610892 - 05;$27.110
860109;3002610894 - 01;$29.590
860110;3002610895 - 00;$29.590
860111;3002610896 - 08;$29.590
860112;3002610897 - 06;$160.770
860113;3002610898 - 04;$29.590
860115;3002610899 - 02;$160.770
860116;3002610901 - 38;$29.590
860117;3002610902 - 36;$29.590
860118;3002610903 - 34;$27.110
860119;3002610904 - 32;$29.590
860120;3002610905 - 30;$27.110
860121;3002610906 - 39;$27.110
860122;3002610907 - 37;$29.590
860123;3002610909 - 33;$29.590
860124;3002610910 - 47;$29.590
860125;3002610911 - 45;$194.020
860126;3002610912 - 43;$29.590
860127;3002610913 - 41;$29.590
860128;3002610914 - 40;$110.440
860129;3002610916 - 46;$29.590
860130;3002610917 - 44;$27.110
860131;3002610918 - 42;$29.590
860132;3002610919 - 40;$29.590
860133;3002610921 - 52;$29.590
860134;3002610922 - 50;$29.590
860135;3002610923 - 59;$29.590
860136;3002610924 - 57;$27.110
860137;3002610925 - 55;$27.110
860138;3002610926 - 53;$110.440
860139;3002610928 - 50;$29.590
860140;3002610929 - 58;$27.110
860141;3002610930 - 61;$27.110
860142;3002610931 - 60;$27.110
860143;3002610932 - 68;$29.590
860144;3002610934 - 64;$29.590
860145;3002610935 - 62;$110.440
860146;3002610936 - 60;$27.110
860147;3002610937 - 69;$29.590
860148;3002610938 - 67;$27.110
860149;3002610939 - 65;$27.110
860150;3002610940 - 79;$27.110
860151;3002610942 - 75;$29.590
860152;3002610943 - 73;$29.590
860153;3002610944 - 71;$27.110
860154;3002610945 - 70;$27.110
860155;3002610946 - 78;$27.110
860156;3002610947 - 76;$27.110
860157;3002610949 - 72;$27.110
860158;3002610950 - 86;$29.590
860159;3002610951 - 84;$29.590
860160;3002610952 - 82;$29.590
860161;3002610953 - 80;$29.590
860162;3002610954 - 89;$29.590
860163;3002610956 - 85;$27.110
860164;3002610957 - 83;$27.110
860165;3002610958 - 81;$29.590
860166;3002610959 - 80;$194.020
860167;3002610960 - 93;$29.590
860168;3002610962 - 90;$29.590
860169;3002610963 - 98;$194.020
860170;3002610964 - 96;$27.110
860171;3002610965 - 94;$29.590
860172;3002610966 - 92;$29.590
860173;3002610968 - 99;$27.110
860174;3002610969 - 97;$29.590
860175;3002610970 - 00;$29.590
860176;3002610971 - 09;$27.110
860177;3002610972 - 07;$29.590
860179;3002610974 - 03;$29.590
860180;3002610975 - 01;$29.590
860181;3002610976 - 00;$29.590
860182;3002610977 - 08;$27.110
860183;3002610978 - 06;$29.590
860184;3002610979 - 04;$27.110
860185;3002610980 - 08;$27.110
860186;3002610981 - 06;$29.590
860187;3002610983 - 02;$29.590
860188;3002610984 - 00;$29.590
860189;3002610985 - 09;$0
860190;3002610986 - 07;$0
860191;3002610987 - 05;$0
